Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Gibraltar,32677,31-12-2021,8701,26.62729137
Montenegro,627082,29-12-2021,166581,26.56446844
Andorra,79843,21-12-2021,21062,26.37926932
Andorra,79843,20-12-2021,21062,26.37926932
Montenegro,627082,28-12-2021,165074,26.32414899
Montenegro,627082,27-12-2021,163954,26.14554396
Gibraltar,32677,30-12-2021,8533,26.11316828
Montenegro,627082,26-12-2021,163373,26.0528926
Montenegro,627082,25-12-2021,162828,25.96598212
Montenegro,627082,24-12-2021,162364,25.89198861
Montenegro,627082,23-12-2021,161944,25.82501172
Montenegro,627082,22-12-2021,161672,25.78163621
Gibraltar,32677,29-12-2021,8421,25.77041956
Andorra,79843,16-12-2021,20549,25.73675839
Andorra,79843,17-12-2021,20549,25.73675839
Andorra,79843,18-12-2021,20549,25.73675839
Andorra,79843,19-12-2021,20549,25.73675839
Montenegro,627082,21-12-2021,161364,25.73251983
Montenegro,627082,20-12-2021,161127,25.69472573
Montenegro,627082,19-12-2021,160995,25.67367585
Montenegro,627082,18-12-2021,160818,25.64544988
Montenegro,627082,17-12-2021,160655,25.61945647
Montenegro,627082,16-12-2021,160457,25.58788165
Montenegro,627082,15-12-2021,160270,25.55806099
Montenegro,627082,14-12-2021,160111,25.53270545
Montenegro,627082,13-12-2021,159901,25.49921701
Montenegro,627082,12-12-2021,159788,25.48119704
Montenegro,627082,11-12-2021,159635,25.45679831
Montenegro,627082,10-12-2021,159433,25.42458562
Gibraltar,32677,28-12-2021,8297,25.39094776
Montenegro,627082,09-12-2021,159214,25.38966196
Montenegro,627082,08-12-2021,159034,25.36095758
Montenegro,627082,07-12-2021,158838,25.3297017
Montenegro,627082,06-12-2021,158623,25.29541591
Montenegro,627082,05-12-2021,158466,25.27037931
Montenegro,627082,04-12-2021,158283,25.24119653
Andorra,79843,15-12-2021,20136,25.21949326
Andorra,79843,14-12-2021,20136,25.21949326
Montenegro,627082,03-12-2021,158076,25.20818649
Montenegro,627082,02-12-2021,157869,25.17517645
Gibraltar,32677,27-12-2021,8220,25.15530801
Montenegro,627082,01-12-2021,157611,25.13403351
Montenegro,627082,30-11-2021,157376,25.09655834
Montenegro,627082,29-11-2021,157085,25.05015293
Montenegro,627082,28-11-2021,156873,25.01634555
Montenegro,627082,27-11-2021,156608,24.97408632
Georgia,3744385,31-12-2021,934741,24.96380581
Montenegro,627082,26-11-2021,156268,24.91986694
Gibraltar,32677,25-12-2021,8142,24.91660801
Gibraltar,32677,26-12-2021,8142,24.91660801
Georgia,3744385,30-12-2021,932641,24.90772183
Montenegro,627082,25-11-2021,156004,24.87776718
Georgia,3744385,29-12-2021,930544,24.85171797
Montenegro,627082,24-11-2021,155694,24.82833186
Georgia,3744385,28-12-2021,928030,24.78457744
Montenegro,627082,23-11-2021,155365,24.77586663
Gibraltar,32677,24-12-2021,8084,24.73911314
Montenegro,627082,22-11-2021,155011,24.71941469
Georgia,3744385,27-12-2021,925354,24.71311043
Georgia,3744385,26-12-2021,924368,24.68677767
Montenegro,627082,21-11-2021,154758,24.67906909
Georgia,3744385,25-12-2021,922707,24.64241791
Montenegro,627082,20-11-2021,154464,24.63218526
Georgia,3744385,24-12-2021,920617,24.586601
Montenegro,627082,19-11-2021,154128,24.57860376
Georgia,3744385,23-12-2021,918641,24.53382865
Gibraltar,32677,23-12-2021,8014,24.52489519
Montenegro,627082,18-11-2021,153743,24.51720828
Georgia,3744385,22-12-2021,916477,24.47603545
Montenegro,627082,17-11-2021,153334,24.45198555
Georgia,3744385,21-12-2021,913738,24.40288592
Montenegro,627082,16-11-2021,152931,24.38771963
Andorra,79843,10-12-2021,19440,24.34778252
Andorra,79843,11-12-2021,19440,24.34778252
Andorra,79843,12-12-2021,19440,24.34778252
Andorra,79843,13-12-2021,19440,24.34778252
San Marino,33690,31-12-2021,8202,24.34550312
Gibraltar,32677,22-12-2021,7954,24.3412798
Georgia,3744385,20-12-2021,910456,24.31523468
Montenegro,627082,15-11-2021,152411,24.30479586
Slovakia,5643455,31-12-2021,1371082,24.29508165
Georgia,3744385,19-12-2021,909160,24.28062285
Montenegro,627082,14-11-2021,152087,24.25312798
Slovakia,5643455,30-12-2021,1367361,24.22914686
Georgia,3744385,18-12-2021,906965,24.22200174
Montenegro,627082,13-11-2021,151730,24.19619763
Gibraltar,32677,21-12-2021,7902,24.18214646
Slovakia,5643455,29-12-2021,1363478,24.16034149
Georgia,3744385,17-12-2021,904181,24.14765042
Andorra,79843,09-12-2021,19272,24.13736959
Montenegro,627082,12-11-2021,151272,24.12316093
Georgia,3744385,16-12-2021,901202,24.06809129
Slovakia,5643455,28-12-2021,1357165,24.0484774
Montenegro,627082,11-11-2021,150793,24.04677538
Gibraltar,32677,20-12-2021,7843,24.00159133
Georgia,3744385,15-12-2021,898079,23.9846864
Montenegro,627082,10-11-2021,150313,23.97023037
Slovakia,5643455,27-12-2021,1351450,23.94720964
Gibraltar,32677,19-12-2021,7822,23.93732595
Slovakia,5643455,26-12-2021,1349806,23.91807855
Slovakia,5643455,25-12-2021,1349146,23.90638359
Georgia,3744385,14-12-2021,894801,23.89714199
Slovakia,5643455,24-12-2021,1347874,23.88384421
Montenegro,627082,09-11-2021,149729,23.8771006
Gibraltar,32677,18-12-2021,7778,23.80267466
Georgia,3744385,13-12-2021,890813,23.79063585
Slovakia,5643455,23-12-2021,1342324,23.78550019
Montenegro,627082,08-11-2021,148997,23.76036946
Georgia,3744385,12-12-2021,889286,23.74985478
Montenegro,627082,07-11-2021,148579,23.69371151
